sentence,meaning,tense
I eat breakfast every morning.,A person has breakfast each morning as a daily routine.,Simple Present
She reads books daily.,A woman reads books on a regular basis.,Simple Present
They play football on Sundays.,A group plays football every Sunday.,Simple Present
He works at a hospital.,A man is employed at a hospital.,Simple Present
The sun rises in the east.,The sun appears from the eastern horizon.,Simple Present
Water boils at 100 degrees.,Water reaches boiling point at 100 degrees Celsius.,Simple Present
She speaks three languages.,A woman is fluent in three different languages.,Simple Present
Dogs bark at strangers.,Dogs make loud sounds when they see unfamiliar people.,Simple Present
I am eating food.,A person is currently consuming a meal.,Present Continuous
She is reading a novel.,A woman is currently engaged in reading a novel.,Present Continuous
They are playing in the park.,A group is currently playing at the park.,Present Continuous
He is working on his project.,A man is currently engaged in his project work.,Present Continuous
The children are singing songs.,The children are currently performing songs.,Present Continuous
It is raining outside.,Rain is currently falling outdoors.,Present Continuous
We are learning new things.,We are currently in the process of gaining new knowledge.,Present Continuous
The boy is playing football.,A boy is currently engaged in a football game.,Present Continuous
I have finished my homework.,A person completed their homework at some point before now.,Present Perfect
She has visited Paris twice.,A woman went to Paris two times in her life so far.,Present Perfect
They have eaten lunch already.,A group finished their lunch before the current time.,Present Perfect
He has written three books.,A man authored three books over the course of his life.,Present Perfect
We have known each other for years.,Two people have been acquainted for many years.,Present Perfect
The team has won the championship.,The team achieved victory in the championship.,Present Perfect
I have been studying for two hours.,A person started studying two hours ago and is still studying.,Present Perfect Continuous
She has been cooking since morning.,A woman began cooking in the morning and continues now.,Present Perfect Continuous
They have been waiting for an hour.,A group started waiting an hour ago and is still waiting.,Present Perfect Continuous
He has been running for thirty minutes.,A man started running thirty minutes ago and continues.,Present Perfect Continuous
It has been raining since yesterday.,Rain started yesterday and has not stopped yet.,Present Perfect Continuous
I ate breakfast this morning.,A person consumed breakfast earlier today.,Simple Past
She read the book last week.,A woman finished reading a book the previous week.,Simple Past
They played football yesterday.,A group engaged in a football game the day before.,Simple Past
He worked late last night.,A man stayed at work until late the previous night.,Simple Past
We visited the museum last month.,A group went to the museum during the previous month.,Simple Past
The dog barked loudly.,The dog made a loud barking sound at a past time.,Simple Past
She danced beautifully at the party.,A woman performed a beautiful dance at a past event.,Simple Past
I was eating dinner when he called.,A person was in the middle of dinner when someone telephoned.,Past Continuous
She was reading when the lights went off.,A woman was engaged in reading when the power failed.,Past Continuous
They were playing outside when it started raining.,A group was playing outdoors when rain began.,Past Continuous
He was working all morning.,A man was engaged in work throughout the morning.,Past Continuous
We were watching a movie at that time.,A group was in the process of viewing a film at that moment.,Past Continuous
The children were sleeping soundly.,The children were in a deep sleep.,Past Continuous
I had finished my work before she arrived.,A person completed work prior to someone else arriving.,Past Perfect
She had already left when I reached.,A woman departed before the speaker got there.,Past Perfect
They had eaten before the guests came.,A group finished eating before visitors arrived.,Past Perfect
He had studied hard before the exam.,A man devoted significant effort to studying before the test.,Past Perfect
We had completed the project before the deadline.,A group finished the project ahead of schedule.,Past Perfect
I had been waiting for an hour before the bus came.,A person was waiting for sixty minutes before the bus arrived.,Past Perfect Continuous
She had been studying all night before the exam.,A woman spent the entire night studying prior to the test.,Past Perfect Continuous
They had been playing for two hours before it rained.,A group had been playing for two hours when rain interrupted.,Past Perfect Continuous
He had been working there for five years before he quit.,A man worked at a place for five years before leaving.,Past Perfect Continuous
I will eat dinner at seven.,A person plans to have dinner at seven o'clock.,Simple Future
She will travel to London next month.,A woman intends to go to London the following month.,Simple Future
They will start the project tomorrow.,A group plans to begin the project the next day.,Simple Future
He will finish his studies next year.,A man expects to complete his education next year.,Simple Future
We will celebrate her birthday on Saturday.,A group plans to have a birthday celebration on Saturday.,Simple Future
The train will arrive at noon.,The train is scheduled to reach at twelve o'clock.,Simple Future
I will be eating dinner at eight tonight.,A person will be in the process of having dinner at eight.,Future Continuous
She will be traveling this time tomorrow.,A woman will be in transit at this same time the next day.,Future Continuous
They will be working when we arrive.,A group will be engaged in work when others get there.,Future Continuous
He will be studying at the library tonight.,A man will be at the library studying this evening.,Future Continuous
I will have finished the report by tomorrow.,A person expects to complete the report before tomorrow.,Future Perfect
She will have graduated by next June.,A woman expects to complete graduation before next June.,Future Perfect
They will have completed the bridge by December.,A group expects the bridge construction to finish by December.,Future Perfect
He will have left by the time you arrive.,A man will already be gone when someone else gets there.,Future Perfect
I will have been working here for ten years next month.,A person will reach ten years of work at this place next month.,Future Perfect Continuous
She will have been teaching for twenty years by then.,A woman will have accumulated twenty years of teaching experience.,Future Perfect Continuous
They will have been living here for five years next April.,A group will reach five years of residence next April.,Future Perfect Continuous
The cat sits on the windowsill every afternoon.,A cat regularly rests on the windowsill during afternoon hours.,Simple Present
Birds fly south during winter.,Birds migrate to southern regions in the winter season.,Simple Present
My mother cooks dinner every evening.,A mother prepares the evening meal on a daily basis.,Simple Present
The teacher explains the lessons clearly.,The teacher provides clear explanations of the lessons.,Simple Present
I am writing a letter to my friend.,A person is currently composing a letter for their friend.,Present Continuous
She is preparing for her exams.,A woman is currently getting ready for her examinations.,Present Continuous
The baby is crying loudly.,An infant is making loud crying sounds right now.,Present Continuous
Workers are building a new road.,Construction workers are currently creating a new road.,Present Continuous
The children have already gone to school.,The children departed for school before now.,Present Perfect
I have seen that movie before.,A person watched that movie at some previous time.,Present Perfect
She has learned to play the piano.,A woman acquired the skill of playing piano.,Present Perfect
He has traveled to many countries.,A man visited numerous countries throughout his life.,Present Perfect
I walked to the store yesterday.,A person went to the store on foot the previous day.,Simple Past
The rain stopped an hour ago.,The rainfall ceased sixty minutes before the present.,Simple Past
She painted a beautiful picture.,A woman created a lovely painting at some past time.,Simple Past
We enjoyed the concert last night.,A group had a pleasant time at a concert the previous evening.,Simple Past
I was sleeping when the earthquake struck.,A person was asleep when an earthquake occurred.,Past Continuous
The wind was blowing fiercely all day.,Strong wind continued throughout the entire day.,Past Continuous
She was talking on the phone when I arrived.,A woman was engaged in a phone conversation when someone got there.,Past Continuous
They were dancing at the party all evening.,A group spent the entire evening dancing at a social event.,Past Continuous
He had never seen snow before he moved to Canada.,A man experienced snow for the first time after relocating to Canada.,Past Perfect
The movie had already started when we reached the theater.,The film began before the group arrived at the cinema.,Past Perfect
I will help you with your homework tomorrow.,A person intends to assist someone with homework the next day.,Simple Future
She will become a doctor in a few years.,A woman is expected to become a physician within a few years.,Simple Future
The flowers will bloom in spring.,Flowers are expected to blossom during the spring season.,Simple Future
We will meet at the coffee shop at three.,A group plans to gather at a coffee shop at three o'clock.,Simple Future
She will be cooking dinner when you get home.,A woman will be in the middle of preparing dinner upon arrival.,Future Continuous
Students will be taking exams next week.,Students will be engaged in examinations the following week.,Future Continuous
I will have read this book by Friday.,A person expects to finish reading the book before Friday.,Future Perfect
She will have completed her training by next month.,A woman expects to finish her training within a month.,Future Perfect
The stars shine brightly at night.,Stars emit bright light during nighttime hours.,Simple Present
He teaches mathematics at the university.,A man is a mathematics instructor at a university.,Simple Present
I am listening to music right now.,A person is currently engaged in listening to music.,Present Continuous
The baby has been sleeping for two hours.,An infant started sleeping two hours ago and continues to rest.,Present Perfect Continuous
She studied French in college.,A woman learned French during her college years.,Simple Past
The movie was playing when we entered the hall.,A film was being screened when a group walked into the hall.,Past Continuous
They had already finished dinner when we arrived.,A group completed their dinner before others got there.,Past Perfect
We will go on vacation next summer.,A group plans to take a holiday trip next summer.,Simple Future
He will be presenting his research at the conference.,A man will deliver a research presentation at the conference.,Future Continuous
By next year I will have saved enough money.,A person expects to accumulate sufficient savings by next year.,Future Perfect
She has been practicing the violin since childhood.,A woman began practicing violin as a child and still continues.,Present Perfect Continuous
The birds were chirping merrily in the garden.,Birds were making cheerful sounds in a garden.,Past Continuous
He had been driving for six hours before he stopped.,A man drove continuously for six hours before taking a break.,Past Perfect Continuous
They will have been married for fifty years next June.,A couple will reach fifty years of marriage next June.,Future Perfect Continuous
I always drink coffee in the morning.,A person has a regular habit of consuming coffee each morning.,Simple Present
She is currently working on a new painting.,A woman is presently creating a new piece of artwork.,Present Continuous
We have never been to Australia.,A group has not visited Australia at any point in their lives.,Present Perfect
The children were laughing and playing.,Children were engaged in joyful laughter and play.,Past Continuous
He had completed the marathon before noon.,A man finished running the marathon before twelve o'clock.,Past Perfect
The concert will begin at eight o'clock.,The musical performance is scheduled to start at eight.,Simple Future
I was running in the park when it started to rain.,A person was jogging in the park when precipitation began.,Past Continuous
She has been learning Japanese for three years.,A woman started studying Japanese three years ago and continues.,Present Perfect Continuous
They had been discussing the plan for hours.,A group spent multiple hours in discussion about a plan.,Past Perfect Continuous
We will be celebrating our anniversary next week.,A group will observe their anniversary the following week.,Future Continuous
I will have finished all my assignments by Sunday.,A person expects to complete all assignments before Sunday.,Future Perfect
He runs five miles every morning.,A man covers five miles of running each morning.,Simple Present
The flowers are blooming in the garden.,Flowers are currently opening and displaying their petals in the garden.,Present Continuous
She has already submitted her application.,A woman completed and sent her application before now.,Present Perfect
We watched a documentary about space last night.,A group viewed a space-related documentary the previous evening.,Simple Past
I had never tasted sushi before visiting Japan.,A person tried sushi for the first time during a Japan visit.,Past Perfect
They will announce the results tomorrow.,An organization plans to reveal the results the next day.,Simple Future
She will have been teaching for thirty years by retirement.,A woman will accumulate thirty years of teaching before she retires.,Future Perfect Continuous
The dog chases its tail every afternoon.,A dog regularly pursues its own tail during the afternoon.,Simple Present
I am preparing for my presentation.,A person is currently getting ready for a presentation.,Present Continuous
He has been jogging since early morning.,A man started jogging in the early morning and continues now.,Present Perfect Continuous
We traveled across Europe last summer.,A group journeyed through various European countries the previous summer.,Simple Past
She was writing her thesis when the power went out.,A woman was working on her thesis when electricity was lost.,Past Continuous
They had already booked the tickets before we called.,A group purchased tickets before someone else contacted them.,Past Perfect
I will be waiting for you at the airport.,A person will be present at the airport expecting someone.,Future Continuous
By next December she will have lived here for twenty years.,A woman will reach twenty years of residence by the following December.,Future Perfect Continuous
